"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Points:0","Points:1","Points:2"
27.755,5966.1,664.12,0,1.0586e+07,5.7465e+05,480.26,1.6118,8.418,2.2706,0
362.52,3797.8,-1303.4,0,1.4284e+08,2.932e+06,538.02,0.098419,-8.185,3.1855,0
27.588,5952.3,628.63,0,1.0523e+07,5.7165e+05,480.17,1.6153,8.8444,2.5759,0
27.09,5882.9,579.14,0,1.033e+07,5.6264e+05,479.89,1.6203,8.6982,2.2681,0
239.84,17085,109.01,0,9.4315e+07,2.1275e+06,525.76,1.0967,0.48142,0.24758,0
228.42,16903,244.55,0,8.9773e+07,2.0801e+06,524.4,1.1554,0.69735,0.32036,0
27.051,5886.3,545.22,0,1.0316e+07,5.6193e+05,479.87,1.6223,9.1399,2.6042,0
26.516,5810.5,503.25,0,1.011e+07,5.522e+05,479.56,1.6282,8.9932,2.2972,0
217.53,16654,272.64,0,8.5435e+07,2.0359e+06,523.04,1.2082,0.89723,0.25597,0
26.604,5830.9,466.27,0,1.0145e+07,5.5381e+05,479.61,1.6283,9.4435,2.6427,0
26.027,5748,429.39,0,9.922e+06,5.4326e+05,479.27,1.635,9.29,2.3285,0
22.454,5236.1,41.038,0,8.5506e+06,4.7645e+05,477.02,1.6889,10.081,0.80222,0
22.67,5268.7,63.647,0,8.6335e+06,4.8057e+05,477.17,1.6853,9.9665,0.96305,0
22.585,5255.5,50.867,0,8.6008e+06,4.7895e+05,477.11,1.6865,10.176,0.98464,0
362.51,3637.9,-42.721,0,1.4283e+08,2.9318e+06,538.01,0.089187,-11.202,0.3775,0
362.53,3616.3,-59.437,0,1.4284e+08,2.9321e+06,538.02,0.088639,-11.419,0.64634,0
362.51,3644.2,-73.601,0,1.4283e+08,2.9318e+06,538.01,0.089353,-11.08,0.65584,0
79.966,10629,931.76,0,3.0885e+07,1.2828e+06,498.87,1.3437,3.5699,0.44058,0
71.84,10096,988.52,0,2.7701e+07,1.1988e+06,496.73,1.3554,3.8433,0.43348,0
78.13,10523,615.6,0,3.0165e+07,1.2645e+06,498.41,1.3439,3.6939,0.2314,0
74.978,10222,1360.8,0,2.8925e+07,1.2322e+06,497.58,1.3447,3.6994,0.66041,0
197.27,15912,1094.6,0,7.7362e+07,1.9556e+06,520.37,1.287,1.0514,0.77805,0
177.85,15153,1428,0,6.9629e+07,1.8784e+06,517.59,1.3442,1.4009,0.87811,0
184.66,15542,1046.5,0,7.2348e+07,1.9057e+06,518.59,1.3354,1.3234,0.65298,0
317.33,15374,-1382.3,0,1.2509e+08,2.5203e+06,533.8,0.59482,-1.5138,0.67836,0
318.36,14959,-1916.6,0,1.2548e+08,2.5272e+06,533.89,0.57598,-1.5852,0.90207,0
310.24,15729,-1489.2,0,1.2228e+08,2.4747e+06,533.12,0.64633,-1.2385,0.79737,0
362.62,3511,-14.229,0,1.4287e+08,2.9331e+06,538.02,0.085968,-13.387,0.63132,0
362.61,3515.6,-7.7127,0,1.4287e+08,2.9331e+06,538.02,0.086084,-13.345,0.34483,0
362.62,3508.4,-9.1171,0,1.4287e+08,2.9332e+06,538.02,0.085902,-13.615,0.443,0
362.53,3618.6,-88.857,0,1.4283e+08,2.932e+06,538.02,0.088718,-11.212,0.88711,0
362.67,3402.1,-7.8107,0,1.4289e+08,2.9338e+06,538.03,0.083249,-13.615,4.5563,0
362.68,3396.2,-7.9987,0,1.4289e+08,2.9339e+06,538.03,0.0831,-13.343,4.6095,0
362.68,3399.8,-12.949,0,1.4289e+08,2.9339e+06,538.03,0.083191,-13.389,4.352,0
362.66,3427.6,-60.906,0,1.4289e+08,2.9337e+06,538.03,0.083899,-12.819,2.9257,0
362.66,3435.2,-51.029,0,1.4288e+08,2.9336e+06,538.03,0.084084,-13.115,2.8212,0
362.66,3421.9,-52.131,0,1.4289e+08,2.9337e+06,538.03,0.083753,-12.995,3.0663,0
345.54,11302,-1979.5,0,1.3621e+08,2.7456e+06,536.45,0.33743,-3.1881,0.81841,0
348.06,10658,-2030.1,0,1.372e+08,2.7703e+06,536.68,0.3108,-3.4544,0.86037,0
346.39,10866,-2543.7,0,1.3654e+08,2.7538e+06,536.52,0.32531,-3.3011,1.0745,0
347.36,11016,-1472.4,0,1.3693e+08,2.7633e+06,536.61,0.32072,-3.3601,0.62073,0
22.639,5261.1,-13.464,0,8.621e+06,4.7998e+05,477.15,1.6847,11.453,1.3242,0
