"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
5925, 5.399968629721794e-01, 8.960976083678022e-01, 2.095000000672528e+02, 1.033382631237766e+04, 1.762715781661163e-06, 1.207072069826432e+08, 8.202730000576726e+05, 6.514396178580505e+02, 1.699999997194426e+00, 2.262879142552599e-10
5926, 5.010779172059984e-01, 2.503658486592801e-01, 1.146036545517953e+02, 6.584309576252374e+03, -1.875434557026839e+03, 6.574636506803081e+07, 7.355910361527354e+05, 6.406029932470996e+02, 1.227240472341454e+00, -3.322634947353092e-01
5927, 8.961032859096184e-01, 5.399919169081655e-01, 2.028463464761458e+02, 1.010045268544605e+04, -1.487589435168373e+02, 1.168524574751333e+08, 8.154225819570059e+05, 6.507751589401691e+02, 1.987372451111664e+00, -1.903140617757978e-02
5928, 4.435305333450945e-01, 2.667920789089997e-01, 1.524433580361036e+02, 8.043230680835038e+03, -1.026177195457153e+03, 8.755724921982661e+07, 7.893785623458824e+05, 6.447337066607699e+02, 1.939881107894575e+00, -1.212193642716378e-01
5929, 5.299978373469543e-01, 8.960983883326397e-01, 2.095000000250647e+02, 1.033382631124684e+04, 8.114655599922384e-07, 1.207072069582090e+08, 8.202730000218851e+05, 6.514396178538157e+02, 1.699999998935945e+00, 8.586995174983411e-11
5930, 5.106673291676983e-01, 2.476273577922755e-01, 1.145315029570295e+02, 6.582250128025917e+03, -1.877632602741234e+03, 6.570389713590955e+07, 7.354001326665413e+05, 6.405852544918110e+02, 1.226806003885165e+00, -3.330125356951339e-01
5931, 8.961054333080274e-01, 5.299929881486533e-01, 2.019873292301056e+02, 1.006789705487241e+04, -1.674812405470764e+02, 1.163542191561388e+08, 8.148786967714811e+05, 6.506861677868098e+02, 2.026975801297802e+00, -2.116542839750822e-02
5932, 5.202569758738196e-01, 2.448888387509993e-01, 1.145031790827306e+02, 6.581553344800956e+03, -1.878319030849393e+03, 6.568751426678150e+07, 7.353322739662854e+05, 6.405810337040722e+02, 1.226625737864422e+00, -3.332787903717009e-01
5933, 8.961074197508534e-01, 5.199941092353884e-01, 2.005633697997167e+02, 1.001262684451947e+04, -1.973331332002117e+02, 1.155287615386481e+08, 8.140350660166433e+05, 6.505410750491404e+02, 2.093089021226338e+00, -2.447555123989005e-02
5934, 4.339032017349337e-01, 2.695157350179210e-01, 1.740996297608937e+02, 8.915091610251397e+03, -6.177428867242953e+02, 1.001965371136679e+08, 8.035680034488300e+05, 6.478189081055272e+02, 2.644545157058874e+00, -6.554477814950113e-02
5935, 5.199985927652282e-01, 8.960989584789105e-01, 2.094999999845978e+02, 1.033382631017879e+04, -9.136957749531200e-08, 1.207072069347833e+08, 8.202729999879017e+05, 6.514396178498102e+02, 1.700000000606431e+00, -4.746983310805652e-11
5936, 8.955977360191617e-01, 1.381416880487643e-01, 1.143144758312335e+02, 6.578017141825883e+03, -1.879860834433583e+03, 6.557729875652942e+07, 7.348518758103611e+05, 6.405424399161668e+02, 1.225550640245684e+00, -3.351637108777923e-01
